irn,title,title_length,image_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
1414797,A grammar and vocabulary of the language of New Zealand,55,243562,3339,5939,https://media.tepapa.govt.nz/collection/243562/full,No Known Copyright Restrictions,,"Open: 229mm (width), 192mm (height)","Church Missionary Society,Professor Samuel Lee","publisher,compiler",1820,London (United Kingdom),printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1414797,A grammar and vocabulary of the language of New Zealand,55,243560,3627,6248,https://media.tepapa.govt.nz/collection/243560/full,No Known Copyright Restrictions,,"Open: 229mm (width), 192mm (height)","Church Missionary Society,Professor Samuel Lee","publisher,compiler",1820,London (United Kingdom),printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1414797,A grammar and vocabulary of the language of New Zealand,55,243561,3432,6076,https://media.tepapa.govt.nz/collection/243561/full,No Known Copyright Restrictions,,"Open: 229mm (width), 192mm (height)","Church Missionary Society,Professor Samuel Lee","publisher,compiler",1820,London (United Kingdom),printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416852,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",97,243580,3948,6299,https://media.tepapa.govt.nz/collection/243580/full,No Known Copyright Restrictions,,"Open: 340mm (width), 240mm (height)",René Lesson,author,1839,France,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416852,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",97,243581,3786,6072,https://media.tepapa.govt.nz/collection/243581/full,No Known Copyright Restrictions,,"Open: 340mm (width), 240mm (height)",René Lesson,author,1839,France,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357957,4480,6818,https://media.tepapa.govt.nz/collection/357957/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357958,4509,6840,https://media.tepapa.govt.nz/collection/357958/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357967,4508,6867,https://media.tepapa.govt.nz/collection/357967/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357968,4509,6840,https://media.tepapa.govt.nz/collection/357968/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357969,4508,6851,https://media.tepapa.govt.nz/collection/357969/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357970,4509,6840,https://media.tepapa.govt.nz/collection/357970/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357971,4501,6825,https://media.tepapa.govt.nz/collection/357971/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357972,4509,6840,https://media.tepapa.govt.nz/collection/357972/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357973,4394,6864,https://media.tepapa.govt.nz/collection/357973/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357974,4509,6840,https://media.tepapa.govt.nz/collection/357974/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357975,4509,6840,https://media.tepapa.govt.nz/collection/357975/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357976,4509,6840,https://media.tepapa.govt.nz/collection/357976/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357959,4421,6830,https://media.tepapa.govt.nz/collection/357959/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357977,4509,6840,https://media.tepapa.govt.nz/collection/357977/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357978,4509,6840,https://media.tepapa.govt.nz/collection/357978/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357979,4445,6888,https://media.tepapa.govt.nz/collection/357979/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357980,4509,6840,https://media.tepapa.govt.nz/collection/357980/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357981,4493,6856,https://media.tepapa.govt.nz/collection/357981/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357982,4509,6840,https://media.tepapa.govt.nz/collection/357982/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357983,4541,6776,https://media.tepapa.govt.nz/collection/357983/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357984,4509,6840,https://media.tepapa.govt.nz/collection/357984/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357985,4444,6792,https://media.tepapa.govt.nz/collection/357985/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357986,4508,6796,https://media.tepapa.govt.nz/collection/357986/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357960,4509,6840,https://media.tepapa.govt.nz/collection/357960/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357987,4509,6840,https://media.tepapa.govt.nz/collection/357987/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357961,4546,6813,https://media.tepapa.govt.nz/collection/357961/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357962,4509,6840,https://media.tepapa.govt.nz/collection/357962/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357963,4485,6825,https://media.tepapa.govt.nz/collection/357963/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357964,4509,6840,https://media.tepapa.govt.nz/collection/357964/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357965,4443,6832,https://media.tepapa.govt.nz/collection/357965/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416942,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,357966,4509,6840,https://media.tepapa.govt.nz/collection/357966/full,No Known Copyright Restrictions,,,"Christie, Manson & Woods",publisher,1885,,printing,leather bound book,"printing paper,ink,leather",rare books,,,,Gift of Charles Rooking Carter
1416944,Catalogue of the York Gate Library : Geographical and Colonial Library,70,349994,3276,4650,https://media.tepapa.govt.nz/collection/349994/full,No Known Copyright Restrictions,,"Overall: 200mm (width), 280mm (height), 62mm (depth)","Edward Augustus Petherick,John Murray","author,publisher",1886,London (United Kingdom),printing,bound book,"printing paper,ink",rare books,,,"Voyages around the world,colonies",Gift of Charles Rooking Carter
1416944,Catalogue of the York Gate Library : Geographical and Colonial Library,70,349993,2874,4512,https://media.tepapa.govt.nz/collection/349993/full,No Known Copyright Restrictions,,"Overall: 200mm (width), 280mm (height), 62mm (depth)","Edward Augustus Petherick,John Murray","author,publisher",1886,London (United Kingdom),printing,bound book,"printing paper,ink",rare books,,,"Voyages around the world,colonies",Gift of Charles Rooking Carter
1417082,Folio of Plates to Captain Cook's Voyages undertaken in the years: 1776-1777-1778-1779 and 1780,95,370570,6636,4956,https://media.tepapa.govt.nz/collection/370570/full,CC BY-NC-ND 4.0,,"Overall: 560mm (height), 469mm (length), 36mm (depth)","Lords Commissioners of the Admiralty,John Webber","publisher,artist",1784,United Kingdom,printing,leather bound book,"printing paper,ink,leather",rare books,,"Indigenous peoples,Ocean travel,Pacific Ocean,New Zealand,Tasmania,Mangaia",,Gift of Charles Rooking Carter
1417192,Ko te Kawenata Hou o to tatou Ariki te Kai Wakaora a Ihu Karaiti : he mea wakamaori i te reo Kariki,99,273690,5405,7214,https://media.tepapa.govt.nz/collection/273690/full,CC BY-NC-ND 4.0,,"Open: 300mm (width), 220mm (height)","Church Missionary Society,Bishop William Williams","publisher,translator",1837,New Zealand,printing,leather bound book,"printing paper,ink,leather",rare books,"Anglican,New Zealand,Māori",,,"Bequest of William Colenso, 1899"
1417192,Ko te Kawenata Hou o to tatou Ariki te Kai Wakaora a Ihu Karaiti : he mea wakamaori i te reo Kariki,99,243568,3683,5950,https://media.tepapa.govt.nz/collection/243568/full,CC BY-NC-ND 4.0,,"Open: 300mm (width), 220mm (height)","Church Missionary Society,Bishop William Williams","publisher,translator",1837,New Zealand,printing,leather bound book,"printing paper,ink,leather",rare books,"Anglican,New Zealand,Māori",,,"Bequest of William Colenso, 1899"
1428394,Australian and New Zealand gazette,34,349999,3064,4866,https://media.tepapa.govt.nz/collection/349999/full,No Known Copyright Restrictions,,"Overall: 220mm (width), 318mm (height), 48mm (depth)",Alexander Elder Murray,publisher,1852,London (United Kingdom),printing,leather bound book,"printing paper,ink,leather","rare books,journals",,"Journalism,Correspondence","Shipping,Business enterprises,Australia,New Zealand",Gift of Charles Rooking Carter
1466269,Manual of the birds of New Zealand,34,360225,4602,6689,https://media.tepapa.govt.nz/collection/360225/full,No Known Copyright Restrictions,,"Overall: 157mm (width), 244mm (length), 14mm (depth)","Sir Walter Buller,George Didsbury,Johannes Keulemans","author,printer,illustrator",1882,New Zealand,printing,bound book,"printing paper,ink",rare books,Biology,New Zealand,,"Bequest of Clarance West, 2004"
1466269,Manual of the birds of New Zealand,34,360226,4042,6495,https://media.tepapa.govt.nz/collection/360226/full,No Known Copyright Restrictions,,"Overall: 157mm (width), 244mm (length), 14mm (depth)","Sir Walter Buller,George Didsbury,Johannes Keulemans","author,printer,illustrator",1882,New Zealand,printing,bound book,"printing paper,ink",rare books,Biology,New Zealand,,"Bequest of Clarance West, 2004"
1466442,Los Calendarios Mexicanos,25,350551,4699,6665,https://media.tepapa.govt.nz/collection/350551/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350552,4980,7200,https://media.tepapa.govt.nz/collection/350552/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350553,4980,7224,https://media.tepapa.govt.nz/collection/350553/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350554,4956,7200,https://media.tepapa.govt.nz/collection/350554/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350555,5004,7224,https://media.tepapa.govt.nz/collection/350555/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350556,4980,7200,https://media.tepapa.govt.nz/collection/350556/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350557,4980,7224,https://media.tepapa.govt.nz/collection/350557/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350558,4932,7200,https://media.tepapa.govt.nz/collection/350558/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350559,5004,7224,https://media.tepapa.govt.nz/collection/350559/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350560,4908,7224,https://media.tepapa.govt.nz/collection/350560/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350561,4594,6677,https://media.tepapa.govt.nz/collection/350561/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350562,5388,5568,https://media.tepapa.govt.nz/collection/350562/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350563,6360,4548,https://media.tepapa.govt.nz/collection/350563/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
1466442,Los Calendarios Mexicanos,25,350564,5484,5928,https://media.tepapa.govt.nz/collection/350564/full,No Known Copyright Restrictions,,"Overall: 527mm (height), 355mm (length), 6mm (depth)","Museo Nacional de Mexico,Mariano de Echeverría y Veytia,Genaro López","editor,author,lithographer",1907,Mexico City (México),printing,,"printing paper,ink",rare books,"Indigenous peoples,Mexico City (México)","Calendars,Religious calendars",Mexican,
