irn,title,title_length,image_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
24535,Snow Crystals,13,449852,8138,11321,https://media.tepapa.govt.nz/collection/449852/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
24561,Russell (Kororareka),20,449787,11281,8210,https://media.tepapa.govt.nz/collection/449787/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
24591,Snow Crystals,13,449846,8115,11323,https://media.tepapa.govt.nz/collection/449846/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
24739,Taro Plant (Colocasia antiquorum),33,449830,8174,11212,https://media.tepapa.govt.nz/collection/449830/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1921,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
24852,Wallaceville Blockhouse,23,419808,10834,8002,https://media.tepapa.govt.nz/collection/419808/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Blockhouses,Wooden buildings,Meadows,Trees,Upper Hutt",,
25000,Snow Crystals,13,449850,8165,11174,https://media.tepapa.govt.nz/collection/449850/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
25046,Tongan Flute - G000712,22,449842,8109,11237,https://media.tepapa.govt.nz/collection/449842/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
25047,Tongan Flutes,13,449843,11258,8077,https://media.tepapa.govt.nz/collection/449843/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1906 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
25133,"Jervois Quay, Wellington",24,419782,10884,8046,https://media.tepapa.govt.nz/collection/419782/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1902,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,cityscapes",,"Railroad tracks,Cityscapes,Bodies of water,Buildings,Electric lines,Wellington",,
25244,Eskimo Dogs in Quarantine on Quail Island,41,425482,9818,7234,https://media.tepapa.govt.nz/collection/425482/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1907-1914,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Structures,Dogs,Fences,Trees,Christchurch,Quail Island",expeditions,
25339,Mount Tarawera and Lake Rotomahana,34,425476,9618,7030,https://media.tepapa.govt.nz/collection/425476/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,Circa 1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,landscapes",,"Landscapes (Representations),Lakes & ponds,Mountains",Rotorua,
25397,Prime Ministerial Meeting,25,425446,6996,9665,https://media.tepapa.govt.nz/collection/425446/full,No Known Copyright Restrictions,,"4.5, 6.5","Unknown,James McDonald","photographer,copyist",1914-1918?,City of London (United Kingdom),"black-and-white photography,gelatin dry plate process,copying",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,group portraits,copies",,"Salutations,men,Suits (Clothing),Plants",meetings,
25458,Written Signatures,18,419812,8053,10819,https://media.tepapa.govt.nz/collection/419812/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","ephemera,black-and-white negatives,gelatin dry plate negatives",,Writing,,
25481,Anglican Church at Russell,26,449797,11226,8151,https://media.tepapa.govt.nz/collection/449797/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
25482,Russell 1862,12,449806,11234,8134,https://media.tepapa.govt.nz/collection/449806/full,No Known Copyright Restrictions,,"4.5, 6.5","Unknown,James McDonald","photographer,copyist",1862,Russell (New Zealand),"black-and-white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
25504,Painting Expedition,19,425434,9716,7353,https://media.tepapa.govt.nz/collection/425434/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,Circa 1903,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates,photographic plates","black-and-white negatives,group portraits,gelatin dry plate negatives",,"people,men,Women,Group portraits,Shrubs",painting,
25519,Snow Crystals,13,449848,8144,11323,https://media.tepapa.govt.nz/collection/449848/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
25803,Hawaiian feather headgear,25,425660,8042,10515,https://media.tepapa.govt.nz/collection/425660/full,No Known Copyright Restrictions,,,James McDonald,photographer,1912 - 1926,,"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",Hawaiian,,,
25867,Taro Plant (Colocasia antiquorum),33,449831,8210,11250,https://media.tepapa.govt.nz/collection/449831/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1921,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
25896,Tolaga Bay Trip,15,419798,10869,8049,https://media.tepapa.govt.nz/collection/419798/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives,landscapes",,"Beaches,Landscapes (Representations),Carriages & coaches,Horses,Seas,Hills,Sand,Gisborne",,
25914,Russell (Kororareka),20,449790,11198,8191,https://media.tepapa.govt.nz/collection/449790/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
25942,Bust of Augustus Hamilton,25,419796,8016,10861,https://media.tepapa.govt.nz/collection/419796/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","sculpture,black-and-white negatives,gelatin dry plate negatives",,"Sculpture,men",Wellington,
26061,Russell (Kororareka),20,449786,11262,8240,https://media.tepapa.govt.nz/collection/449786/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,,black and white photography,Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives",,,,
26110,Wallaceville Blockhouse,23,419806,10838,8002,https://media.tepapa.govt.nz/collection/419806/full,No Known Copyright Restrictions,,"4.5, 6.5",James McDonald,photographer,1903 - 1926,Wellington (New Zealand),"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",,"Blockhouses,Wooden buildings,Meadows,Trees,Upper Hutt",,
26125,Snow Crystals,13,449851,8148,11353,https://media.tepapa.govt.nz/collection/449851/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
26154,Hawaiian feather cloak (weaving detail),39,425662,10546,8072,https://media.tepapa.govt.nz/collection/425662/full,No Known Copyright Restrictions,,,James McDonald,photographer,1912 - 1926,,"black-and-white photography,gelatin dry plate process",black and white gelatin glass negative,"sheet glass,photographic gelatin,silver,photographic plates","black-and-white negatives,gelatin dry plate negatives",Hawaiian,,,
26202,Snow Crystals,13,449847,8169,11348,https://media.tepapa.govt.nz/collection/449847/full,No Known Copyright Restrictions,,"4.5, 6.5","James McDonald,Unknown","copyist,publisher",1912 - 1926,,"black and white photography,copying",Black and white nitrate negative,"nitrocellulose,silver,black-and-white film,cut film","nitrate cel,black-and-white negatives,copies",,,,
