irn,title,title_length,number_of_imagesimage_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
515005,Sheet of Queen Victoria Second Side-face stamps with advertisements on back,75,2,265776,3936,7062,https://media.tepapa.govt.nz/collection/265776/full,No Known Copyright Restrictions,,"Sheet: 295 (width), 545 (height)","Messrs Truebridge, Miller & Reich",printer,1893,Wellington (New Zealand),,,paper,postage stamps,,,,Purchased 2007
515005,Sheet of Queen Victoria Second Side-face stamps with advertisements on back,75,2,265775,7080,3930,https://media.tepapa.govt.nz/collection/265775/full,No Known Copyright Restrictions,,"Sheet: 295 (width), 545 (height)","Messrs Truebridge, Miller & Reich",printer,1893,Wellington (New Zealand),,,paper,postage stamps,,,,Purchased 2007
697002,One penny die proof for the proposed Railways Department stamp issue,68,1,170278,4385,4586,https://media.tepapa.govt.nz/collection/170278/full,No Known Copyright Restrictions,,"Overall: 62mm (height), 53mm (length)",William Bock,engraver (printmaker),1905,New Zealand,intaglio printing,,"prepared paper,indigo",printers' proofs,,,Railroads,Purchased 2007
697004,Six penny die proof for the proposed Railways Department stamp issue,68,1,170279,6286,5162,https://media.tepapa.govt.nz/collection/170279/full,No Known Copyright Restrictions,,"Overall: 67mm (height), 60mm (length)",William Bock,engraver (printmaker),1905,New Zealand,intaglio printing,,"prepared paper,indigo",printers' proofs,,,Railroads,Purchased 2007
697009,Two penny die proof for the proposed Railways Department stamp issue,68,1,170280,6095,4871,https://media.tepapa.govt.nz/collection/170280/full,No Known Copyright Restrictions,,"Overall: 73mm (height), 62mm (length)",Mr James Parsons,engraver (printmaker),1905,Wellington (New Zealand),intaglio printing,,"prepared paper,indigo",printers' proofs,,,Railroads,Purchased 2007
697011,One shilling die proof for the proposed Railways Department stamp issue,71,1,170281,6815,5170,https://media.tepapa.govt.nz/collection/170281/full,No Known Copyright Restrictions,,"Overall: 55mm (height), 61mm (length)",Mr James Parsons,engraver (printmaker),1905,New Zealand,intaglio printing,,"prepared paper,indigo",printers' proofs,,,Railroads,Purchased 2007
728447,Letter,6,4,683002,5626,3474,https://media.tepapa.govt.nz/collection/683002/full,No Known Copyright Restrictions,,"141mm, 86mm",Unknown,writer,1839,"Islands, Bay of (New Zealand)",,,paper,Visual and Verbal Communication,,,,Purchased 2006
728447,Letter,6,4,683001,5633,3536,https://media.tepapa.govt.nz/collection/683001/full,No Known Copyright Restrictions,,"141mm, 86mm",Unknown,writer,1839,"Islands, Bay of (New Zealand)",,,paper,Visual and Verbal Communication,,,,Purchased 2006
728447,Letter,6,4,683000,9116,5521,https://media.tepapa.govt.nz/collection/683000/full,No Known Copyright Restrictions,,"141mm, 86mm",Unknown,writer,1839,"Islands, Bay of (New Zealand)",,,paper,Visual and Verbal Communication,,,,Purchased 2006
728447,Letter,6,4,682999,9085,5529,https://media.tepapa.govt.nz/collection/682999/full,No Known Copyright Restrictions,,"141mm, 86mm",Unknown,writer,1839,"Islands, Bay of (New Zealand)",,,paper,Visual and Verbal Communication,,,,Purchased 2006
